city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Oban,56.4127,-5.4706,43.0,87,100,4.0,GB,overcast clouds
80,Gorom-Gorom,14.4439,-0.2361,81.21,11,0,9.82,BF,clear sky
81,Norman Wells,65.282,-126.8329,12.2,79,90,3.44,CA,light snow
82,Talnakh,69.4865,88.3972,-24.81,85,5,5.61,RU,clear sky
83,Hofn,64.2539,-15.2082,42.15,53,36,14.43,IS,scattered clouds
84,Almaznyy,48.0448,40.045,41.0,81,0,13.42,RU,clear sky
85,Cape Town,-33.9258,18.4232,62.01,88,20,8.05,ZA,few clouds
86,Lebu,-37.6167,-73.65,57.27,92,59,13.42,CL,broken clouds
87,Mar Del Plata,-38.0023,-57.5575,66.0,82,0,4.61,AR,clear sky
88,Puerto Ayora,-0.7393,-90.3518,78.01,95,45,8.01,EC,scattered clouds
89,Varnavino,57.4035,45.0916,34.84,98,100,11.43,RU,light rain
90,Coahuayana,18.7333,-103.6833,82.4,51,75,4.9,MX,broken clouds
91,Atuona,-9.8,-139.0333,80.29,78,67,12.84,PF,light rain
92,Porto Murtinho,-21.6989,-57.8825,76.46,50,50,5.17,BR,scattered clouds
93,Auki,-8.7676,160.7034,80.74,82,93,2.06,SB,overcast clouds
94,Airai,-8.9266,125.4092,65.46,87,98,1.97,TL,overcast clouds
95,Wukari,7.85,9.7833,80.83,15,100,3.06,NG,overcast clouds
96,Comodoro Rivadavia,-45.8667,-67.5,55.4,71,90,8.05,AR,light rain
97,Hermanus,-34.4187,19.2345,57.99,94,99,7.63,ZA,light rain
98,Saskylakh,71.9167,114.0833,-28.5,99,100,7.25,RU,overcast clouds
99,Namatanai,-3.6667,152.4333,84.6,67,88,4.07,PG,overcast clouds
100,East London,-33.0153,27.9116,66.52,80,75,8.88,ZA,broken clouds
101,Alexandria,31.2156,29.9553,51.8,71,40,2.3,EG,scattered clouds
102,Sisimiut,66.9395,-53.6735,20.73,79,100,17.63,GL,light snow
103,Kahului,20.8947,-156.47,80.6,69,40,25.32,US,scattered clouds
104,Bugene,-1.5911,31.1403,56.86,96,60,1.99,TZ,broken clouds
105,Tiksi,71.6872,128.8694,-8.57,98,100,10.94,RU,overcast clouds
106,Georgetown,5.4112,100.3354,81.0,89,20,2.3,MY,few clouds
